hex_id,population,pop_20_29,income_index_pln,n_obwody
622,2346.0,413.0,3086.8300511508946,18
623,1635.0,232.0,3086.884097859327,9
624,183.0,142.0,3130.3841530054647,6
625,387.0,69.0,3086.4,2
626,165.0,20.0,3044.6,1
627,1859.0,236.0,3044.747928994083,11
628,2263.0,309.0,3054.603446752099,11
629,728.0,90.0,3070.328846153846,6
630,1127.0,97.0,3065.4,6
631,3034.0,257.0,3031.265985497693,13
632,1027.0,144.0,3094.238656280428,5
633,2785.0,323.0,3118.5801436265706,9
634,2071.0,306.0,3079.5664896185413,7
635,450.0,51.0,3094.2,1
636,584.0,68.0,3110.473287671233,2
638,530.0,168.0,3142.3,1
639,912.0,102.0,3124.8554824561406,3
640,355.0,92.0,3142.3,1
648,824.0,104.0,3084.7407766990295,4
649,740.0,103.0,3091.2586486486484,3
650,772.0,75.0,3066.763730569948,3
651,2746.0,278.0,3069.374581209032,8
652,2290.0,267.0,3067.952620087336,15
653,2652.0,372.0,3074.115610859729,16
654,2786.0,435.0,3074.708470926059,18
655,2605.0,426.0,3087.1393857965454,21
656,158.0,15.0,3101.8727848101266,2
657,150.0,42.0,3086.4,1
658,400.0,44.0,3086.4,2
659,928.0,108.0,3057.7726293103447,4
660,2560.0,303.0,3055.1902734375,14
661,2845.0,367.0,3073.002671353251,16
662,621.0,55.0,3065.3999999999996,3
663,2765.0,258.0,3025.2311392405063,13
664,2756.0,326.0,3025.60152394775,10
665,1405.0,134.0,3094.8007829181493,4
666,587.0,92.0,3069.3999999999996,2
667,2108.0,343.0,3091.282352941176,9
668,480.0,52.0,3142.3,1
671,529.0,141.0,3132.1088846880907,2
672,892.0,206.0,3118.969955156951,3
673,77.0,6.0,3142.3,1
675,0.0,0.0,,1
679,186.0,14.0,3047.6,1
680,228.0,14.0,3047.6,1
682,1024.0,297.0,3089.0316406249995,3
683,709.0,140.0,3091.2,3
684,2259.0,303.0,3083.8870296591413,15
685,1597.0,182.0,3089.634189104571,10
686,1469.0,345.0,3094.6616746085774,16
687,967.0,139.0,3070.5365046535676,8
688,415.0,82.0,3085.9045783132533,3
689,12.0,3.0,3051.6,1
690,519.0,81.0,3060.5976878612714,3
691,1478.0,133.0,3048.9701623815963,9
692,1623.0,207.0,3065.6578558225515,13
693,1792.0,291.0,3059.3917968749997,10
694,2931.0,273.0,3040.0550665301944,12
695,1529.0,191.0,3056.9890778286467,7
696,969.0,121.0,3046.6729618163054,4
697,2871.0,359.0,3056.3182863113902,13
698,2150.0,243.0,3077.4230697674416,8
700,185.0,16.0,3028.3,1
701,99.0,1.0,3045.9000000000005,1
702,132.0,15.0,3104.6,1
711,2278.0,293.0,3045.542054433714,13
712,1357.0,207.0,3048.40972733972,12
714,103.0,9.0,3061.5495145631066,2
715,2306.0,333.0,3047.795880312229,13
716,3067.0,436.0,3068.750994457124,21
717,1917.0,334.0,3072.052269170579,12
718,636.0,103.0,3071.0849056603774,5
720,540.0,87.0,3085.6,4
721,184.0,39.0,3085.6,4
722,1025.0,203.0,3091.1239024390243,6
723,821.0,100.0,3065.542630937881,7
724,2222.0,295.0,3066.5495949594956,16
725,537.0,65.0,3046.5603351955315,5
726,2762.0,260.0,3059.3195510499636,16
727,2308.0,295.0,3066.544627383016,11
728,2381.0,255.0,3042.3913901721967,14
729,1946.0,256.0,3047.367574511819,12
730,170.0,13.0,3028.3,1
731,439.0,52.0,3028.3000000000006,2
732,188.0,19.0,3045.9000000000005,1
734,27.0,2.0,3045.9,1
735,38.0,4.0,3142.3,1
736,21.0,4.0,3045.9,2
737,0.0,0.0,,2
739,77.0,5.0,3060.7,1
740,30.0,2.0,3060.7,1
741,1375.0,171.0,3030.3,8
742,2535.0,278.0,3046.1996055226823,17
743,241.0,23.0,3061.0,1
745,276.0,40.0,3040.3,2
746,148.0,14.0,3040.3,1
748,720.0,129.0,3049.9,6
749,663.0,96.0,3049.9,4
750,204.0,33.0,3085.5999999999995,2
751,1008.0,180.0,3085.6,7
752,134.0,8.0,3093.1999999999994,2
753,1102.0,125.0,3089.6326678765877,7
754,1365.0,210.0,3067.717362637363,10
755,495.0,106.0,3058.7,3
756,431.0,47.0,3058.7,3
757,363.0,29.0,3046.0752066115697,2
758,282.0,48.0,3039.2971631205673,4
759,1630.0,230.0,3033.199631901841,13
760,1542.0,225.0,3029.2654993514916,14
761,952.0,91.0,3025.294222689076,9
762,129.0,19.0,3028.3,1
764,226.0,23.0,3045.9,1
765,89.0,12.0,3045.9000000000005,1
766,19.0,0.0,3045.9,1
767,253.0,26.0,3055.786166007905,2
768,29.0,2.0,3060.7,1
769,144.0,15.0,3060.7,1
770,151.0,23.0,3060.7,1
771,148.0,11.0,3060.7,1
772,595.0,55.0,3055.4791596638656,5
773,2827.0,295.0,3040.217191368942,16
775,262.0,96.0,3115.8,2
777,50.0,1.0,3115.8,1
778,6.0,0.0,3115.8000000000006,1
782,101.0,16.0,3085.6,1
783,335.0,36.0,3077.402985074627,2
784,130.0,19.0,3072.7846153846153,3
785,640.0,81.0,3055.50109375,6
786,1225.0,178.0,3039.4,10
787,277.0,50.0,3039.4,2
788,143.0,20.0,3031.9,1
789,89.0,10.0,3015.1820224719104,2
790,1271.0,144.0,3005.102911093627,5
791,461.0,62.0,3033.5169197396967,3
792,206.0,27.0,3028.3,1
793,295.0,33.0,3028.3,1
800,106.0,11.0,3060.6999999999994,1
804,263.0,22.0,3061.0,1
805,647.0,188.0,3115.8,3
806,808.0,89.0,3115.7999999999997,4
807,48.0,8.0,3115.8000000000006,1
811,150.0,26.0,,1
812,339.0,59.0,3098.6,3
813,887.0,123.0,3093.1492671927845,8
814,779.0,124.0,3064.170603337612,8
815,1242.0,176.0,3056.910869565217,15
816,1207.0,185.0,3092.459403479702,12
817,805.0,101.0,3101.5,8
818,156.0,11.0,3101.5,1
819,197.0,21.0,3046.7999999999997,2
825,212.0,23.0,3045.9,1
830,447.0,34.0,3030.1,2
831,378.0,114.0,3115.8,1
833,436.0,53.0,3115.7999999999997,3
837,0.0,0.0,,1
840,1424.0,301.0,3088.34136235955,10
841,1700.0,194.0,3064.1202352941177,14
842,2019.0,257.0,3060.97176820208,23
843,683.0,157.0,3096.734260614934,9
844,2005.0,291.0,3073.3128678304233,12
845,261.0,28.0,3019.1,1
846,131.0,13.0,2979.8,2
