id,lon,lat,srv_school,srv_pharmacy,srv_university,srv_mall
mp/w501661341,19.3069213,51.7507379,1,0,0,0
mp/w527841543,19.4927593,51.7141346,1,0,0,0
mp/w527841552,19.4925061,51.7157959,1,0,0,0
mp/w528117155,19.4912261,51.7198730,1,0,0,0
mp/w528993358,19.2410837,51.6998027,1,0,0,0
mp/w530244378,19.4812483,51.7880380,1,0,0,0
mp/w531091358,19.4232977,51.7516715,1,0,0,0
mp/w534581561,19.5452129,51.7566134,1,0,0,0
mp/w542597546,19.4741404,51.7760066,1,0,0,0
mp/w543085767,19.4780038,51.7784079,1,0,0,0
mp/w555535042,19.3954965,51.6822707,1,0,0,0
mp/w556280041,19.4295015,51.7277913,1,0,0,0
mp/w556351741,19.4613842,51.7259373,1,0,0,0
mp/w630309305,19.4666747,51.7918573,1,0,0,0
mp/w630330508,19.4616341,51.7961759,1,0,0,0
mp/w631290504,19.4528028,51.7243702,1,0,0,0
mp/w637243748,19.4678380,51.8080814,1,0,0,0
mp/w637606657,19.4581148,51.7903475,1,0,0,0
mp/w637606658,19.4621349,51.7897793,1,0,0,0
mp/w637606660,19.4666062,51.7897975,1,0,0,0
mp/w637606663,19.4760057,51.7933075,1,0,0,0
mp/w637606665,19.4728729,51.7929711,1,0,0,0
mp/w643377826,19.4843199,51.7317667,1,0,0,0
mp/w648175906,19.3503238,51.6631945,1,0,0,0
mp/w651195717,19.3529005,51.6683717,1,0,0,0
mp/w651989765,19.3544144,51.6686082,1,0,0,0
mp/w653238864,19.3564115,51.6679301,1,0,0,0
mp/w654280768,19.3621494,51.6654369,1,0,0,0
mp/w659688970,19.4515332,51.7642811,1,0,0,0
mp/w659688975,19.4525483,51.7630635,1,0,0,0
mp/w669568716,19.4340952,51.7848258,1,0,0,0
mp/w670262514,19.4417019,51.7854739,1,0,0,0
mp/w671248966,19.4364056,51.7871223,1,0,0,0
mp/w671586481,19.4317926,51.7890777,1,0,0,0
mp/w671586494,19.4314026,51.7883253,1,0,0,0
mp/w671601357,19.4103642,51.7902395,1,0,0,0
mp/w671671779,19.4047786,51.8546290,1,0,0,0
mp/w671860332,19.4904107,51.7785093,1,0,0,0
mp/w673873351,19.4465171,51.7890597,1,0,0,0
mp/w695729146,19.4758100,51.7358432,1,0,0,0
mp/w700313314,19.2171536,51.7705765,1,0,0,0
mp/w750458697,19.3527453,51.6584398,1,0,0,0
mp/w796910762,19.6766462,51.6916802,1,0,0,0
mp/w815798783,19.4200754,51.8051941,1,0,0,0
mp/w825399170,19.4737120,51.8472317,1,0,0,0
mp/w825402488,19.4726845,51.7892191,1,0,0,0
mp/w835860401,19.6244687,51.7682531,1,0,0,0
mp/w850118987,19.3884159,51.7412480,1,0,0,0
mp/w850802824,19.3886499,51.7472590,1,0,0,0
mp/w851427520,19.3918810,51.7481736,1,0,0,0
mp/w851795943,19.3946837,51.7420342,1,0,0,0
mp/w851803550,19.3973520,51.7448719,1,0,0,0
mp/w853995160,19.4116120,51.7446806,1,0,0,0
mp/w853995177,19.4097311,51.7441495,1,0,0,0
mp/w854463204,19.4006615,51.7517501,1,0,0,0
mp/w854470023,19.4046671,51.7500698,1,0,0,0
mp/w859177699,19.4143708,51.7501042,1,0,0,0
mp/w859649222,19.4121119,51.7507138,1,0,0,0
mp/w861000982,19.4158679,51.7559491,1,0,0,0
mp/w866905312,19.3849611,51.7796805,1,0,0,0
mp/w879318755,19.3444150,51.6557013,1,0,0,0
mp/w879417960,19.6903656,51.6648186,1,0,0,0
mp/w900420634,19.6487158,51.7424295,1,0,0,0
mp/w913233875,19.6824612,51.7252369,1,0,0,0
mp/w935143979,19.5232397,51.7916340,1,0,0,0
mp/w938812621,19.4673099,51.7262469,1,0,0,0
mp/w939344200,19.4670434,51.7333568,1,0,0,0
mp/w940979582,19.4324149,51.7162782,1,0,0,0
mp/w941279438,19.4840790,51.7342107,1,0,0,0
mp/w941279439,19.4849905,51.7352725,1,0,0,0
mp/w941279441,19.4853676,51.7342405,1,0,0,0
mp/w947726000,19.4540976,51.7940779,1,0,0,0
mp/w969788155,19.4498808,51.8126292,1,0,0,0
mp/w980829559,19.4611293,51.7735350,1,0,0,0
mp/w993872695,19.4855540,51.7396822,1,0,0,0
mp/w995287753,19.4631484,51.7280752,1,0,0,0
mp/w996583066,19.3908023,51.7479530,1,0,0,0
mp/w996829049,19.5042698,51.7402679,1,0,0,0
mp/w996831967,19.4982796,51.7387538,1,0,0,0
mp/w998788504,19.6111707,51.6742039,1,0,0,0
mp/w1001503799,19.6102801,51.7388924,1,0,0,0
mp/w1005811766,19.5197472,51.7563020,1,0,0,0
mp/w1005811778,19.5308870,51.7566159,1,0,0,0
mp/w1015951902,19.5686788,51.7698051,1,0,0,0
mp/w1017114613,19.3691420,51.7977118,1,0,0,0
mp/w1019949953,19.5274900,51.7572326,1,0,0,0
mp/w1021500123,19.2183548,51.7498628,1,0,0,0
mp/w1022656878,19.4689589,51.7210527,1,0,0,0
mp/w1023226100,19.4818681,51.7150194,1,0,0,0
mp/w1028703688,19.3301997,51.6563313,1,0,0,0
mp/w1028705062,19.3299583,51.6593857,1,0,0,0
mp/w1028706243,19.3345593,51.6601430,1,0,0,0
mp/w1028865901,19.3703747,51.6603699,1,0,0,0
mp/w1028867587,19.3758243,51.6628873,1,0,0,0
mp/w1032982175,19.3645523,51.6617428,1,0,0,0
mp/w1032982176,19.3653729,51.6626407,1,0,0,0
mp/w1039297588,19.5117727,51.7679593,1,0,0,0
mp/w1040140838,19.4849556,51.7286712,1,0,0,0
mp/w1065091902,19.4901635,51.7611766,1,0,0,0
mp/w1067867891,19.4742901,51.7892073,1,0,0,0
mp/w1069910735,19.5036815,51.7656796,1,0,0,0
mp/w1076805023,19.5615752,51.7439769,1,0,0,0
mp/w1130932099,19.5872074,51.7934155,1,0,0,0
mp/w1146962394,19.5375684,51.7560171,1,0,0,0
mp/w1150896309,19.4980556,51.8154095,1,0,0,0
mp/w1151275638,19.4212606,51.8521971,1,0,0,0
mp/w1152372547,19.4172816,51.8529608,1,0,0,0
mp/w1152372557,19.4179066,51.8538992,1,0,0,0
mp/w1163898672,19.5032159,51.7356492,1,0,0,0
mp/w1165443700,19.4912458,51.7340333,1,0,0,0
mp/w1234038705,19.4686899,51.7461637,1,0,0,0
mp/w1240986983,19.4251218,51.8567612,1,0,0,0
mp/w1264493690,19.4223829,51.8509906,1,0,0,0
mp/w1266184382,19.4101910,51.8619261,1,0,0,0
pt/506145809,19.5410487,51.7555866,1,0,0,0
pt/729938954,19.4503023,51.7608897,1,0,0,0
pt/738461059,19.4770755,51.7023678,1,0,0,0
pt/766790950,19.4558735,51.7743369,1,0,0,0
pt/766798731,19.3927724,51.8766943,1,0,0,0
pt/803014185,19.3896924,51.8601182,1,0,0,0
pt/882547849,19.3798977,51.8640172,1,0,0,0
pt/1098231740,19.4011520,51.8633673,1,0,0,0
pt/1098250760,19.3828253,51.8600108,1,0,0,0
pt/1355537809,19.5568309,51.6762042,1,0,0,0
pt/1561703145,19.4254541,51.8638779,1,0,0,0
pt/1561704070,19.4164848,51.8469667,1,0,0,0
pt/1813613826,19.4822752,51.8350509,1,0,0,0
pt/1858904122,19.5761490,51.7395170,1,0,0,0
pt/1885231479,19.4582627,51.7617375,1,0,0,0
pt/1948683686,19.4256932,51.8536990,1,0,0,0
pt/2185272967,19.4015320,51.8633709,1,0,0,0
pt/2277986593,19.5006063,51.7305873,1,0,0,0
pt/2845740218,19.6719215,51.8068054,1,0,0,0
pt/4156199389,19.4101150,51.7215060,1,0,0,0
pt/4393654389,19.4490660,51.7914256,1,0,0,0
pt/4393654391,19.4363417,51.7874703,1,0,0,0
pt/4420373006,19.3902082,51.7415290,1,0,0,0
pt/4450182656,19.4730796,51.7781213,1,0,0,0
pt/5380749909,19.4682240,51.7300318,1,0,0,0
pt/5612604980,19.4514995,51.7372745,1,0,0,0
pt/6614988269,19.4482065,51.7327701,1,0,0,0
pt/9278688658,19.3895622,51.8601143,1,0,0,0
pt/9278784635,19.5411144,51.7557510,1,0,0,0
pt/9278784636,19.5409588,51.7554156,1,0,0,0
pt/10748874005,19.3771287,51.6624582,1,0,0,0
mp/w103533259,19.3911832,51.7930786,0,1,0,0
mp/w180379625,19.4427289,51.7792715,0,1,0,0
mp/w196292599,19.4171527,51.7044238,0,1,0,0
mp/w257335120,19.4414840,51.8225088,0,1,0,0
mp/w622059232,19.5101509,51.7926459,0,1,0,0
mp/w690686288,19.5348534,51.7571468,0,1,0,0
pt/1045963165,19.3986424,51.7479890,0,1,0,0
pt/935801508,19.4421559,51.8199906,0,1,0,0
pt/767570730,19.4720211,51.7171927,0,1,0,0
pt/767570721,19.4860482,51.7174255,0,1,0,0
pt/766807496,19.3911643,51.8627546,0,1,0,0
pt/766780590,19.4541918,51.7762721,0,1,0,0
pt/766771803,19.4275491,51.7109911,0,1,0,0
pt/766763731,19.4561793,51.7769923,0,1,0,0
pt/766742864,19.4481809,51.7763418,0,1,0,0
pt/766715151,19.4802190,51.7051803,0,1,0,0
pt/765067275,19.4392073,51.7999702,0,1,0,0
pt/765043991,19.4461738,51.8186976,0,1,0,0
pt/765036780,19.5686586,51.7410426,0,1,0,0
pt/748038827,19.4886626,51.7439247,0,1,0,0
pt/602752035,19.4749461,51.7316782,0,1,0,0
pt/602752034,19.4731830,51.7332174,0,1,0,0
pt/506151007,19.5712232,51.7491557,0,1,0,0
pt/506145810,19.5368181,51.7572646,0,1,0,0
pt/483557677,19.4831034,51.7732206,0,1,0,0
pt/483556065,19.4818436,51.7730819,0,1,0,0
pt/470856784,19.4403573,51.8239247,0,1,0,0
pt/464756601,19.3841441,51.7472988,0,1,0,0
pt/439206500,19.4475980,51.7696778,0,1,0,0
pt/432504794,19.4270931,51.7746287,0,1,0,0
pt/432504792,19.4256377,51.7764834,0,1,0,0
pt/432504791,19.4258121,51.7764476,0,1,0,0
pt/432504790,19.4234450,51.7741721,0,1,0,0
pt/4340719333,19.4870636,51.7328357,0,1,0,0
pt/4338977716,19.5695110,51.7392707,0,1,0,0
pt/4329060300,19.4920625,51.7109866,0,1,0,0
pt/4312033453,19.4540469,51.7655846,0,1,0,0
pt/4311864868,19.3924051,51.7846651,0,1,0,0
pt/4289336285,19.4574251,51.7653532,0,1,0,0
pt/4270779019,19.3302118,51.7469053,0,1,0,0
pt/4262812545,19.4475957,51.7599610,0,1,0,0
pt/4262793550,19.4458818,51.7691182,0,1,0,0
pt/4262611854,19.4457866,51.7695602,0,1,0,0
pt/4262432276,19.4528982,51.7744353,0,1,0,0
pt/4262382577,19.4406687,51.7717062,0,1,0,0
pt/4231033689,19.4846784,51.7812020,0,1,0,0
pt/4155599777,19.3763191,51.7962300,0,1,0,0
pt/4155592736,19.3762306,51.7960309,0,1,0,0
pt/4145058489,19.4657101,51.7859394,0,1,0,0
pt/4143243151,19.4301354,51.7227703,0,1,0,0
pt/4111137952,19.4799107,51.7361424,0,1,0,0
pt/4109453029,19.4384184,51.7985219,0,1,0,0
pt/4066688285,19.4796796,51.7348615,0,1,0,0
pt/3872842632,19.4287667,51.7874556,0,1,0,0
pt/3833923269,19.3939137,51.7385904,0,1,0,0
pt/3815522192,19.3994354,51.7522393,0,1,0,0
pt/3812339063,19.4960748,51.7195915,0,1,0,0
pt/3799118150,19.4011490,51.7481222,0,1,0,0
pt/3794283939,19.4001179,51.7448095,0,1,0,0
pt/3794267761,19.3977288,51.7440601,0,1,0,0
pt/3794111704,19.4745951,51.7785955,0,1,0,0
pt/3782110663,19.4563421,51.7684079,0,1,0,0
pt/3770752658,19.4722781,51.7346059,0,1,0,0
pt/3770233472,19.3998608,51.7443860,0,1,0,0
pt/3761709361,19.3845521,51.7372647,0,1,0,0
pt/3716102821,19.4394440,51.7507732,0,1,0,0
pt/3711632166,19.4743717,51.7427459,0,1,0,0
pt/3667344550,19.3991639,51.7454648,0,1,0,0
pt/3659124257,19.3945813,51.7952962,0,1,0,0
pt/3627187849,19.4500628,51.7831257,0,1,0,0
pt/3587446632,19.4490841,51.7335511,0,1,0,0
pt/3491596633,19.4128269,51.7471061,0,1,0,0
pt/3491596632,19.4118395,51.7461466,0,1,0,0
pt/3471408293,19.4744385,51.7322454,0,1,0,0
pt/3464306878,19.4134583,51.7493514,0,1,0,0
pt/3450958408,19.5678617,51.7409585,0,1,0,0
pt/3401484017,19.5266777,51.7817595,0,1,0,0
pt/3302501871,19.4581615,51.7825011,0,1,0,0
pt/3234531791,19.4954321,51.7374389,0,1,0,0
pt/3234531787,19.4957108,51.7383566,0,1,0,0
pt/3201527147,19.5009520,51.7453770,0,1,0,0
pt/3201527139,19.4940908,51.7475348,0,1,0,0
pt/3099369136,19.4628242,51.7430478,0,1,0,0
pt/3098275393,19.4572081,51.7708031,0,1,0,0
pt/3040093566,19.3558518,51.6618741,0,1,0,0
pt/2655474696,19.5734719,51.7532389,0,1,0,0
pt/2622505065,19.4998488,51.7352449,0,1,0,0
pt/2619798243,19.4430013,51.8199929,0,1,0,0
pt/2619378989,19.4310355,51.8222120,0,1,0,0
pt/2611773605,19.4546920,51.7881521,0,1,0,0
pt/2607459806,19.4743234,51.7313762,0,1,0,0
pt/2607459275,19.4724916,51.7772843,0,1,0,0
pt/2607413830,19.4188249,51.8186146,0,1,0,0
pt/2601385900,19.4576973,51.7748787,0,1,0,0
pt/2558647137,19.3909021,51.7446240,0,1,0,0
pt/2558588316,19.3921356,51.7405029,0,1,0,0
pt/2534909296,19.2453768,51.6348750,0,1,0,0
pt/9590934533,19.4166505,51.8554629,0,1,0,0
pt/9590934532,19.4698897,51.8733604,0,1,0,0
pt/9590934531,19.3160637,51.8161805,0,1,0,0
pt/9590934529,19.4156675,51.8549287,0,1,0,0
pt/9590934528,19.3102433,51.8182000,0,1,0,0
pt/9590934523,19.3071641,51.8155388,0,1,0,0
pt/9590934522,19.4250251,51.8532069,0,1,0,0
pt/9590934521,19.3033513,51.8234640,0,1,0,0
pt/9590924409,19.3163882,51.8127406,0,1,0,0
pt/9590914531,19.3048125,51.8216963,0,1,0,0
pt/9590894108,19.3807720,51.8619872,0,1,0,0
pt/9590894106,19.4155133,51.8444531,0,1,0,0
pt/9590894104,19.3935902,51.8611482,0,1,0,0
pt/9590894103,19.4048924,51.8558349,0,1,0,0
pt/9590894102,19.3094094,51.8183466,0,1,0,0
pt/9590894100,19.4128069,51.8574600,0,1,0,0
pt/9590836796,19.3787429,51.8608341,0,1,0,0
pt/9590836794,19.4221759,51.8540034,0,1,0,0
pt/9590836793,19.3058954,51.8188326,0,1,0,0
pt/9590836790,19.4163944,51.8616207,0,1,0,0
pt/9590836788,19.3938424,51.8605867,0,1,0,0
pt/9590791523,19.3026010,51.8218202,0,1,0,0
pt/9590791522,19.4073637,51.8552807,0,1,0,0
pt/9590791521,19.3173719,51.7897425,0,1,0,0
pt/9590791520,19.4157218,51.8618804,0,1,0,0
pt/9590791519,19.3968652,51.8625487,0,1,0,0
pt/9590791518,19.4242761,51.8643037,0,1,0,0
pt/9590791517,19.3055373,51.8220747,0,1,0,0
pt/9590781116,19.3200561,51.7898048,0,1,0,0
pt/9581795857,19.3549557,51.6600889,0,1,0,0
pt/9581789501,19.3269816,51.6596421,0,1,0,0
pt/9581774874,19.3245990,51.7509108,0,1,0,0
pt/9581774704,19.4039201,51.6826682,0,1,0,0
pt/9581774687,19.3741053,51.6599716,0,1,0,0
pt/9581774598,19.3291175,51.6571436,0,1,0,0
pt/9581773676,19.3654545,51.6640532,0,1,0,0
pt/9581773071,19.3215200,51.7506008,0,1,0,0
pt/9581773070,19.3829140,51.6553960,0,1,0,0
pt/9581771527,19.3439117,51.6640357,0,1,0,0
pt/9581763534,19.3761978,51.6598975,0,1,0,0
pt/9581762691,19.3515982,51.6699868,0,1,0,0
