hex_id,population,single_par,income_idx,hh_single,hh_size,osiedle
274,5630.36,20.5421,3059.0828,26.9877,2.3947,Zarzew
275,216.72,2.3467,3099.6591,1.3734,2.5619,Zarzew
276,141.64,23.9372,3038.0211,14.2877,3.3839,Chojny-Dąbrowa
277,252.21,20.3442,3029.8118,8.9372,3.2889,Chojny-Dąbrowa
278,80.45,15.6164,3028.2,13.2724,3.4321,Wiskitno
279,284.89,15.7713,3011.3141,15.2627,3.293,Wiskitno
280,150.42,13.2739,2990.3,6.3514,3.6362,Wiskitno
281,44.39,12.7,2990.3,5.4,3.68,
282,51.0,25.3703,2980.5,11.0394,3.5602,
283,86.34,23.5959,2980.5,11.4923,3.4986,Wzniesień Łódzkich
284,93.97,15.6744,2980.5,10.9891,3.7349,Wzniesień Łódzkich
285,107.26,14.6909,3003.5665,12.444,3.7062,Wzniesień Łódzkich
286,134.27,21.4285,3051.8,16.7447,3.2147,Dolina Łódki
287,218.52,13.123,3051.8,17.3552,3.082,Dolina Łódki
288,312.97,15.4581,3051.8,8.3608,3.4322,Dolina Łódki
289,861.03,15.4332,3049.9101,24.2548,2.7049,Dolina Łódki
290,1395.91,22.2347,3043.6612,21.5868,2.853,Stoki-Sikawa-Podgórze
291,1355.47,23.502,3023.5335,25.8086,2.4164,Mileszki
292,11856.54,24.5063,3046.6395,30.9293,2.2947,Widzew-Wschód
293,100.12,20.4873,3043.68,25.8105,2.3806,Olechów-Janów
294,143.55,17.4261,3028.162,8.3726,3.0196,Olechów-Janów
295,175.98,19.0908,3026.8404,7.432,3.362,Chojny-Dąbrowa
296,83.39,24.6774,3027.6608,12.1195,3.5425,Wiskitno
297,577.84,16.2299,3020.848,11.0447,3.3147,Wiskitno
298,130.64,15.9397,2990.3,8.3428,3.6204,Wiskitno
299,44.85,12.9302,2990.3,5.5821,3.6779,
300,4.07,27.5,2980.5,11.8,3.37,
301,72.58,27.5,2980.5,11.8,3.37,Wzniesień Łódzkich
302,42.62,27.5,2980.5,11.8,3.37,Wzniesień Łódzkich
303,12.55,10.0,2980.5,10.6,3.91,
304,37.07,18.4014,3021.8116,13.9026,3.545,
305,122.24,19.3309,3052.6301,13.4337,3.4285,Dolina Łódki
306,144.22,16.8421,3054.8459,11.8088,3.4641,Dolina Łódki
307,161.59,13.4276,3052.9589,9.8367,3.4995,Dolina Łódki
308,204.93,14.2561,3045.8045,9.5882,3.5287,Dolina Łódki
309,207.97,15.5261,3035.8938,12.635,3.2584,Mileszki
