hex_id,population,income_index_pln,fam_pct_matki_samotne,n_obwody
482,2349.0,3036.0758194976584,19.658322690506598,11
483,355.0,3055.5830985915495,23.677464788732394,3
485,1345.0,3074.9,16.683494423791824,6
486,2112.0,3051.9336647727273,28.398714897667777,14
487,3537.0,3059.2748657054,26.470568278201863,22
488,1577.0,3051.378503487635,31.889917564996836,13
489,3213.0,3040.804699657641,30.668783068783064,26
490,180.0,3045.3,39.2,1
491,144.0,3049.1,18.4,2
492,1823.0,3064.1645090510146,35.71404278661547,12
493,1841.0,3071.954481260185,31.791580662683327,14
494,1505.0,3087.031627906977,21.469634551495016,10
495,2153.0,3097.2,21.798188574082676,11
496,63.0,3110.1,33.3,1
497,253.0,3110.1,27.4,1
498,52.0,3035.5,31.199999999999996,1
499,92.0,3116.0,24.1,1
500,293.0,3116.0,7.900000000000001,1
501,262.0,3041.7,12.2,1
502,543.0,3043.1580110497234,21.649539594843464,2
503,181.0,3037.2,20.91878453038674,2
504,184.0,3037.2,24.5,1
505,273.0,3035.0,38.08571428571428,2
506,429.0,3034.3459207459205,31.63263403263403,3
507,458.0,3034.4,16.25589519650655,2
508,112.0,3034.4,28.6,1
516,1329.0,3018.2395033860043,23.300601956358165,7
517,3983.0,3037.514586994728,22.924654782827012,19
518,629.0,3054.011764705883,26.004769475357712,3
519,353.0,3062.2,33.59688385269122,2
520,63.0,3062.2,23.5,1
521,336.0,3054.2,24.875,2
522,3470.0,3048.42204610951,26.49720461095101,10
523,1840.0,3048.532010869565,28.061467391304344,9
524,3406.0,3034.5202583675864,34.39738696418086,29
525,1719.0,3048.419488074462,32.412507271669575,14
526,356.0,3065.5893258426963,39.886197183098595,4
527,4732.0,3050.034361792054,33.03873626373626,31
528,5054.0,3044.024079936684,33.352334784329244,34
529,3058.0,3057.5951275343355,36.88691955526488,26
530,1127.0,3078.5,37.8433007985803,7
531,366.0,3097.2,9.282786885245901,2
532,761.0,3110.0999999999995,32.700131406044676,5
533,398.0,3110.1,17.384924623115577,2
534,607.0,3028.0370675453046,36.1841845140033,6
535,1885.0,3029.920954907162,28.81183023872679,13
536,1204.0,3043.1175249169437,32.99426910299003,8
537,1250.0,3044.0,28.64752,7
538,693.0,3045.6,9.53809523809524,3
539,1070.0,3081.6,23.260747663551406,5
540,98.0,3081.6,20.0,1
541,653.0,3032.7000000000003,26.12633996937213,3
542,831.0,3033.557160048135,15.731889290012033,2
543,205.0,3034.4,23.0,1
544,179.0,3034.4,42.03296089385475,2
545,296.0,3046.7141891891893,20.03918918918919,2
550,366.0,3049.0999999999995,19.6,1
552,293.0,3015.1000000000004,27.922866894197952,2
553,353.0,3044.8,17.4,2
554,622.0,3062.2,21.55385852090032,2
556,449.0,3054.1999999999994,21.139198218262806,2
557,1787.0,3046.1453833240066,27.26569669837717,8
558,3061.0,3051.179157138191,23.019307415877165,16
559,860.0,3037.9733720930235,37.00058139534884,9
560,3541.0,3016.152979384355,40.649138661395085,33
561,1834.0,3061.4544711014178,30.956986899563322,16
562,2859.0,3049.3706190975863,34.765197621546,23
563,3539.0,3044.5923424696243,32.28886691155694,24
564,1926.0,3043.2652128764275,31.992056074766353,20
565,2319.0,3059.070978870203,35.299784389823195,15
566,1169.0,3072.705132591959,28.696578272027377,7
567,216.0,3080.3,27.580555555555552,2
568,442.0,3105.2457013574663,27.940454545454543,5
569,357.0,3110.1,32.801339285714285,3
570,731.0,3015.139398084815,41.24090287277701,6
571,1812.0,3035.5,28.63239514348786,10
572,2508.0,3046.5882376395534,25.978748006379586,15
573,2712.0,3031.6222713864304,27.125626843657816,19
574,350.0,3068.7714285714287,26.042857142857144,2
575,387.0,3081.6,21.251421188630488,3
576,337.0,3047.50059347181,23.5026706231454,2
577,387.0,3032.7,28.337209302325576,2
578,423.0,3032.7,21.8,1
579,272.0,3034.4,25.3,1
580,278.0,3034.4,24.4,1
588,221.0,3049.1,17.1,1
590,132.0,3049.1,25.0,1
591,117.0,3026.6,15.6,1
592,707.0,3046.540028288543,20.166195190947665,3
593,713.0,3044.9713884992984,18.177699859747545,4
594,1176.0,3041.7005102040816,30.81573129251701,8
595,3727.0,3044.9450228065466,29.330533941507912,18
596,1326.0,3042.587330316742,23.07141779788839,9
597,3562.0,3041.205221785514,35.82119595732734,26
598,3818.0,3037.9305395495026,39.20426925091671,31
599,2683.0,3035.6708907938873,35.581065970928066,18
600,4566.0,3048.7482041173894,36.170626918018414,39
601,2846.0,3048.6763527758253,34.54739985945186,24
602,2058.0,3053.8459183673467,33.82031098153547,18
603,1739.0,3069.7851638872917,28.10276657060519,15
604,2583.0,3066.6636082075106,30.365698799845145,16
605,1070.0,3052.354859813084,28.546168224299066,9
606,1060.0,3061.67141509434,28.51186602870813,7
607,329.0,3048.175075987842,23.022796352583587,2
608,1465.0,3053.1649829351536,33.63624573378839,11
609,1613.0,3050.239987600744,30.685120892746433,11
610,1821.0,3029.620318506315,29.00373421197144,13
611,856.0,3044.597079439252,20.052920560747662,5
612,196.0,3081.6,24.16530612244898,2
613,158.0,3026.7,15.900000000000002,1
615,590.0,3033.7862711864404,21.606440677966102,2
621,342.0,2981.9,18.0,1
623,177.0,3049.1,24.0,1
624,290.0,3049.1,21.8,1
628,129.0,2981.9,11.1,1
630,663.0,3025.3449472096536,19.73846153846154,4
631,538.0,3021.3,25.377695167286248,3
632,2448.0,3059.9462009803915,27.684844771241835,13
633,3483.0,3056.0457077232268,29.400861326442723,18
634,3281.0,3052.8035659859797,29.322706491923192,20
635,3658.0,3043.9629852378353,33.097375615090215,26
636,957.0,3037.3,33.544932079414835,8
637,2116.0,3036.3636578449905,35.73275047258979,16
638,3585.0,3051.1510460251047,34.140474198047414,33
639,1551.0,3050.182269503546,35.408897485493235,13
640,1991.0,3083.1999999999994,26.224545454545453,14
641,2235.0,3069.6795525727066,29.634720357941838,8
642,2378.0,3093.65740117746,27.728174936921786,10
643,749.0,3072.0,34.32683578104139,4
644,376.0,3053.108244680851,33.52632978723404,3
645,1016.0,3033.7999999999997,33.19783464566929,8
646,354.0,3018.8000000000006,33.13898305084746,3
647,3761.0,3032.0533102898166,26.57888859345919,23
648,2130.0,3037.334366197183,27.756713615023475,12
649,146.0,3012.7,31.2,1
650,93.0,3007.0,23.1,1
651,211.0,3026.7,32.2,1
652,102.0,3090.6,17.2,1
654,701.0,3063.101283880171,19.202425106990013,2
656,128.0,3034.4,33.3,1
657,84.0,3034.4,12.5,1
668,147.0,3026.6,16.3,1
669,361.0,3024.4418282548477,20.780886426592797,3
670,520.0,3021.3,13.553076923076924,3
671,210.0,3061.9,21.0,1
672,723.0,3058.1,20.823513139695713,3
673,2433.0,3059.503534730785,30.853884093711468,17
675,1079.0,3052.061909175162,24.325671918443003,8
676,1305.0,3061.354329501916,30.010114942528734,7
677,1052.0,3063.8865019011405,26.20342205323194,8
678,1847.0,3059.025879805089,36.79897130481862,13
679,2022.0,3067.0841246290797,37.75628090999011,14
680,1886.0,3061.9802757158004,39.07497348886532,12
681,2474.0,3091.9498787388843,19.30646725949879,12
682,1452.0,3048.7062672176316,39.289325068870525,11
683,3069.0,3040.140566959922,35.86177908113392,23
684,796.0,3028.204773869347,48.5678391959799,8
685,3017.0,3037.091382167716,32.421644017235664,24
686,3596.0,3023.7390433815353,28.059427141268078,20
687,1505.0,3011.9425249169435,28.0821926910299,10
688,891.0,3007.0,20.271604938271604,5
689,471.0,3026.7,26.230360934182592,2
690,711.0,3066.513924050633,20.487623066104078,2
692,219.0,3090.6,20.9,1
701,34.0,2981.9,20.0,1
704,74.0,2981.9,18.8,1
705,220.0,3054.7,28.2,1
706,728.0,3054.6999999999994,17.879701492537315,4
707,591.0,3031.9812182741116,19.506598984771575,3
708,1567.0,3061.9000000000005,23.419400127632418,9
709,2834.0,3068.3912138320393,21.49760056457304,16
710,3324.0,3067.055174488568,29.391847172081825,23
711,436.0,3062.8,34.147247706422014,4
712,1208.0,3066.310264900662,30.254349627174815,10
